I	FM	I
vorne	ADV	vorne
steht	VVFIN	stehen
Lorenzo	NE	Lorenzo
und	KON	und
beobachtet	VVFIN	beobachten
auch	ADV	auch
die	ART	die
Gruppe	NN	Gruppe
mit	APPR	mit
Aufmerksamkeit	NN	Aufmerksamkeit
.	$.	.
Plötzlich	ADJD	plötzlich
fährt	VVFIN	fahren
er	PPER	er
mit	APPR	mit
der	ART	die
Hand	NN	Hand
wie	KOKOM	wie
unwillkürlich	ADJD	unwillkürlich
nach	APPR	nach
der	ART	die
Dose	NN	Dose
,	$,	,
die	PRELS	die
er	PPER	er
zu	APPR	zu
sich	PRF	sich
gesteckt	VVPP	stecken
hat	VAFIN	haben
.	$.	.
Er	PPER	er
besinnt	VVFIN	besinnen
sich	PRF	sich
sogleich	ADV	sogleich
,	$,	,
tritt	VVFIN	treten
zu	APPR	zu
Vittoria	NE	Vittoria
und	KON	und
spricht	VVFIN	sprechen
.	$.	.
LORENZO	NE	Lorenzo
hastig	ADJD	hastig
.	$.	.
Du	PPER	du
mußt	VMFIN	müssen
ihm	PPER	er
alles	PIS	alle
sagen	VVINF	sagen
.	$.	.
Cesarino	NE	Cesarino
steht	VVFIN	stehen
dort	ADV	dort
,	$,	,
als	KOUS	als
atmete	VVFIN	atmen
dasselbe	PDAT	dasselb
Bild	NN	Bild
,	$,	,
das	PRELS	die
hier	ADV	hier
auf	APPR	auf
meiner	PPOSAT	mein
Dose	NN	Dose
–	ADJD	–
ja	ADV	ja
,	$,	,
mich	PPER	ich
dünkt	VVFIN	dünken
,	$,	,
er	PPER	er
muß	VMFIN	müssen
es	PPER	es
jetzt	ADV	jetzt
schon	ADV	schon
wissen	VVINF	wissen
.	$.	.
VITTORIA	NE	Vittoria
leise	ADJD	leise
.	$.	.
Wie	KOKOM	wie
du	PPER	du
willst	VMFIN	wollen
.	$.	.
LORENZO	NE	Lorenzo
ebenso	ADV	ebenso
.	$.	.
Wir	PPER	wir
müssen	VMFIN	müssen
,	$,	,
Liebe	NN	Liebe
,	$,	,
Mut	NN	Mut
!	$.	!
VITTORIA	NE	Vittoria
.	$.	.
Wenn	KOUS	wenn
du	PPER	du
denn	ADV	denn
willst	VMFIN	wollen
!	$.	!
Der	ART	die
Baron	NN	Baron
verbeugt	VVFIN	verbeugen
sich	PRF	sich
lächelnd	ADJD	lächelnd
vor	APPR	vor
Marfisa	NE	Marfisa
und	KON	und
tritt	VVFIN	treten
wieder	ADV	wieder
zu	APPR	zu
Vittoria	NE	Vittoria
vor	PTKVZ	vor
.	$.	.
Vittoria	NE	Vittoria
winkt	VVFIN	winken
Cesarino	NE	Cesarino
zu	APPR	zu
sich	PRF	sich
.	$.	.
Marfisa	NE	Marfisa
und	KON	und
der	ART	die
Abbate	NN	Abbate
gehen	VVFIN	gehen
zu	APPR	zu
den	ART	die
Musikern	NN	Musiker
hinüber	PTKVZ	hinüber
,	$,	,
die	PRELS	die
ihre	PPOSAT	ihr
Instrumente	NN	Instrument
bei	APPR	bei
Seite	NN	Seite
gelegt	VVPP	legen
haben	VAFIN	haben
.	$.	.
VITTORIA	NE	Vittoria
Cesarino	NE	Cesarino
dem	ART	die
Baron	NN	Baron
vorstellend	ADJD	vorstellend
.	$.	.
Dies	PDS	dies
ist	VAFIN	sein
mein	PPOSAT	mein
Bruder	NN	Bruder
und	KON	und
zu	APPR	zu
sehr	ADV	sehr
mein	PPOSAT	mein
Stolz	NN	Stolz
.	$.	.
Die	ART	die
Sonne	NN	Sonne
von	APPR	von
Neapel	NE	Neapel
war	VAFIN	sein
das	ART	die
Erste	ADJA	erst
,	$,	,
zu	APPR	zu
dem	PRELS	die
er	PPER	er
»	ADJA	»
Kukuk	NN	Kukuk
«	NN	«
sagte	VVFIN	sagen
,	$,	,
wenn	KOUS	wenn
sie	PPER	sie
abends	ADV	abends
im	APPRART	in
Meer	NN	Meer
versank	VVFIN	versinken
,	$,	,
und	KON	und
später	ADJD	spät
wollt	VMFIN	wollen
er	PPER	er
sie	PPER	sie
anrühren	VVINF	anrühren
,	$,	,
weil	KOUS	weil
er	PPER	er
sie	PPER	sie
für	APPR	für
einen	ART	eine
Ball	NN	Ball
von	APPR	von
Gold	NN	Gold
hielt	VVFIN	halten
,	$,	,
und	KON	und
seither	ADV	seither
ist	VAFIN	sein
er	PPER	er
verliebt	ADJD	verliebt
–	ADJD	–
ich	PPER	ich
glaub	VVIMP	glauben
,	$,	,
seitdem	KOUS	seitdem
–	NN	–
in	APPR	in
Gold	NN	Gold
und	KON	und
Edelsteine	NN	Edelstein
wie	KOKOM	wie
eine	ART	eine
Elster	NN	Elster
,	$,	,
und	KON	und
ich	PPER	ich
fürcht	VVFIN	fürcht
,	$,	,
das	PDS	die
macht	VVFIN	machen
:	$.	:
er	PPER	er
hat	VAFIN	haben
ein	ART	eine
zu	APPR	zu
begierig	ADJD	begierig
Aug	NE	Aug
für	APPR	für
Schönheit	NN	Schönheit
.	$.	.
Das	ART	die
Lesen	NN	Lese|Lesen
und	KON	und
das	ART	die
Schreiben	NN	Schreiben
lehrten	VVFIN	lehren
ihn	PPER	er
die	ART	die
guten	ADJA	gut
Väter	NN	Vater
auf	APPR	auf
dem	ART	die
heiligen	ADJA	heilig
Berg	NN	Berg
,	$,	,
der	PRELS	die
die	ART	die
Karthause	NN	Karthause
von	APPR	von
Siena	NE	Siena
trägt	VVFIN	tragen
;	$.	;
ich	PPER	ich
glaube	VVFIN	glauben
,	$,	,
wenn	KOUS	wenn
er	PPER	er
lachte	VVFIN	lachen
,	$,	,
waren	VAFIN	sein
sie	PPER	sie
so	ADV	so
froh	ADJD	froh
,	$,	,
als	KOUS	als
wäre	VAFIN	sein
ihrem	PPOSAT	ihr
Klosterschatz	NN	Klosterschatz
ein	ART	eine
Stück	NN	Stück
vom	APPRART	von
heiligen	ADJA	heilig
Rock	NN	Rock
zuteil	ADV	zuteil
geworden	VAPP	werden
,	$,	,
und	KON	und
aus	APPR	aus
dem	ART	die
Holz	NN	Holz
ehrwürdiger	ADJA	ehrwürdig
Zypressen	NN	Zypresse
auf	APPR	auf
ihren	PPOSAT	ihr
Ruhestätten	NN	Ruhestätte
schnitzten	VVFIN	schnitzen
sie	PPER	sie
ihm	PPER	er
eine	ART	eine
Armbrust	NN	Armbrust
und	KON	und
auch	ADV	auch
gleich	ADJD	gleich
den	ART	die
Vogel	NN	Vogel
,	$,	,
da	KOUS	da
der	ART	die
von	APPR	von
Gott	NN	Gott
geschaffne	VVFIN	geschaffne
nicht	PTKNEG	nicht
so	ADV	so
still	ADJD	still
hielt	VVFIN	halten
.	$.	.
Ich	PPER	ich
schwätz	VVIMP	schwätzen
zu	APPR	zu
viel	PIS	viele
.	$.	.
Es	PPER	es
haben	VAFIN	haben
ihn	PPER	er
fünf	CARD	fünf
Städte	NN	Stadt
und	KON	und
eine	ART	eine
Schwester	NN	Schwester
,	$,	,
die	PRELS	die
nichts	PIS	nichts
kann	VMFIN	können
als	KOKOM	als
singen	VVINF	singen
,	$,	,
so	ADV	so
schlecht	ADJD	schlecht
erzogen	VVPP	erziehen
,	$,	,
daß	KOUS	dass
er	PPER	er
voll	ADJD	voll
der	ART	die
Fehler	NN	Fehler
der	ART	die
Jugend	NN	Jugend
steckt	VVFIN	stecken
,	$,	,
und	KON	und
leider	ADV	leider
voll	ADJD	voll
des	ART	die
Zaubers	NN	Zauber
,	$,	,
der	PRELS	die
für	APPR	für
zu	PTKA	zu
günstige	ADJA	günstig
Augen	NN	Auge
sie	PPER	sie
verhüllt	VVPP	verhüllen
.	$.	.
Je	ADV	je
mehr	ADV	mehr
ich	PPER	ich
von	APPR	von
ihm	PPER	er
rede	VVFIN	reden
,	$,	,
merk	VVIMP	merken
ich	PPER	ich
,	$,	,
kommt	VVFIN	kommen
nicht	PTKNEG	nicht
er	PPER	er
,	$,	,
nur	ADV	nur
meine	PPOSAT	mein
Torheit	NN	Torheit
an	APPR	an
den	ART	die
Tag	NN	Tag
.	$.	.
Geh	VVIMP	gehen
zu	APPR	zu
den	ART	die
Andern	PIS	andere
,	$,	,
geh	VVIMP	gehen
zu	APPR	zu
der	ART	die
Marfisa	NE	Marfisa
.	$.	.
Cesarino	NE	Cesarino
tritt	VVFIN	treten
zu	APPR	zu
der	ART	die
Gruppe	NN	Gruppe
beim	APPRART	bei
Klavier	NN	Klavier
.	$.	.
VITTORIA	NE	Vittoria
.	$.	.
Er	PPER	er
meint	VVFIN	meinen
,	$,	,
daß	KOUS	dass
ihm	PPER	er
die	ART	die
Welt	NN	Welt
gehört	VVFIN	gehören
.	$.	.
Wenn	KOUS	wenn
er	PPER	er
zu	APPR	zu
Wagen	NN	Wagen
oder	KON	oder
Schiff	NN	Schiff
in	APPR	in
einer	ART	eine
Stadt	NN	Stadt
ankommt	VVFIN	ankommen
,	$,	,
so	ADV	so
rollt	VVFIN	rollen
er	PPER	er
seinen	PPOSAT	sein
Blick	NN	Blick
umher	PTKVZ	umher
,	$,	,
ganz	ADV	ganz
wie	KOKOM	wie
der	ART	die
Söldnerführer	NN	Söldnerführer
,	$,	,
der	PRELS	die
die	ART	die
Stadt	NN	Stadt
erobert	VVPP	erobern
hat	VAFIN	haben
und	KON	und
die	ART	die
Brandschatzung	NN	Brandschatzung
abhält	VVFIN	abhalten
und	KON	und
mit	APPR	mit
den	ART	die
Augen	NN	Auge
,	$,	,
stärker	ADJD	stark
als	KOKOM	als
Magnete	NN	Magnet
,	$,	,
versteckte	ADJA	versteckt
Frauen	NN	Frau
und	KON	und
vergrabne	ADJA	vergrabne
Schätze	NN	Schatz
aus	APPR	aus
allen	PIAT	alle
Winkeln	NN	Winkel
an	APPR	an
sich	PRF	sich
ziehen	VVINF	ziehen
will	VMFIN	wollen
.	$.	.
Während	APPR	während
dieser	PDAT	dies
Erzählung	NN	Erzählung
suchen	VVFIN	suchen
Vittorias	NE	Vittorias
Augen	NN	Auge
den	ART	die
Blick	NN	Blick
des	ART	die
Barons	NN	Baron
,	$,	,
und	KON	und
sie	PPER	sie
scheint	VVFIN	scheinen
mit	APPR	mit
dem	ART	die
Blick	NN	Blick
ihm	PPER	er
mehr	ADV	mehr
sagen	VVINF	sagen
zu	PTKZU	zu
wollen	VMINF	wollen
,	$,	,
als	KOUS	als
ihre	PPOSAT	ihr
Worte	NN	Wort
sagen	VVINF	sagen
.	$.	.
Der	ART	die
Ablate	NN	Ablate
steht	VVFIN	stehen
aber	ADV	aber
nahe	PTKVZ	nahe
.	$.	.
Auch	ADV	auch
Lorenzo	NE	Lorenzo
steht	VVFIN	stehen
rechts	ADV	rechts
vorne	ADV	vorne
in	APPR	in
ihrer	PPOSAT	ihr
Nähe	NN	Nähe
.	$.	.
VITTORIA	NE	Vittoria
fortfahrend	ADJD	fortfahrend
.	$.	.
Sein	PPOSAT	sein
Reden	NN	Rede|Reden
,	$,	,
wenn	KOUS	wenn
er	PPER	er
sah	VVFIN	sehen
,	$,	,
was	PRELS	was
ihm	PPER	er
gefällt	VVFIN	gefallen
,	$,	,
ist	VAFIN	sein
wie	KOKOM	wie
Auflodern	NN	Auflodern
halberstickter	ADJA	halberstickter
Flammen	NN	Flamme
.	$.	.
Er	PPER	er
ist	VAFIN	sein
noch	ADV	noch
halb	ADJD	halb
ein	ART	eine
Kind	NN	Kind
,	$,	,
und	KON	und
seine	PPOSAT	sein
Zunge	NN	Zunge
ist	VAFIN	sein
wie	KOKOM	wie
der	ART	die
Speer	NN	Speer
des	ART	die
Halbgotts	NN	Halbgotts
,	$,	,
dessen	PRELAT	die
Spitze	NN	Spitze
die	ART	die
tiefsten	ADJA	tief
Wunden	NN	Wunde
schlug	VVFIN	schlagen
und	KON	und
wieder	ADV	wieder
heilte	VVFIN	heilen
.	$.	.
Sein	PPOSAT	sein
Blick	NN	Blick
dringt	VVFIN	dringen
durch	APPR	durch
und	KON	und
durch	ADV	durch
,	$,	,
er	PPER	er
sieht	VVFIN	sehen
die	PDS	die
nackt	ADJD	nackt
,	$,	,
die	PRELS	die
sich	PRF	sich
verstellen	VVINF	verstellen
,	$,	,
und	KON	und
ich	PPER	ich
fürchte	VVFIN	fürchten
,	$,	,
Scham	NN	Scham
hält	VVFIN	halten
ihn	PPER	er
nicht	PTKNEG	nicht
auf	PTKVZ	auf
,	$,	,
doch	KON	doch
weiß	VVFIN	wissen
ich	PPER	ich
:	$.	:
Liebe	ADJA	lieb
kanns	NN	kanns
–	NN	–
CESARINO	NE	Cesarino
tritt	VVFIN	treten
wieder	ADV	wieder
zu	APPR	zu
ihr	PPER	ihr
.	$.	.
Sprichst	VVFIN	sprechen
du	PPER	du
ihm	PPER	er
immer	ADV	immer
noch	ADV	noch
von	APPR	von
mir	PPER	ich
,	$,	,
du	PPER	du
Gute	NN	Gute
?	$.	?
VITTORIA	NE	Vittoria
.	$.	.
Mein	PPOSAT	mein
Bruder	NN	Bruder
,	$,	,
sprich	VVIMP	sprechen
mit	APPR	mit
ihm	PPER	er
,	$,	,
er	PPER	er
stand	VVFIN	stehen
sehr	ADV	sehr
nah	ADJD	nah
zu	APPR	zu
deiner	PPOSAT	dein
Mutter	NN	Mutter
.	$.	.
CESARINO	NE	Cesarino
.	$.	.
Tatet	VVFIN	tun
ihr	PPER	ihr
das	PDS	die
,	$,	,
Herr	NN	Herr
?	$.	?
Ich	PPER	ich
habe	VAFIN	haben
meine	PPOSAT	mein
Mutter	NN	Mutter
nie	ADV	nie
gekannt	VVPP	kennen
.	$.	.
Sie	PPER	Sie
sagen	VVFIN	sagen
,	$,	,
»	ADJA	»
Mutter	NN	Mutter
«	NN	«
ist	VAFIN	sein
das	ART	die
schönste	ADJA	schön
Wort	NN	Wort
im	APPRART	in
Leben	NN	Leben
,	$,	,
mit	APPR	mit
dem	ART	die
tiefsten	ADJA	tief
süßen	ADJA	süß
Klang	NN	Klang
beladen	VVPP	beladen
,	$,	,
doch	KON	doch
für	APPR	für
mich	PRF	ich
ist	VAFIN	sein
»	ADJA	»
Schwester	NN	Schwester
«	ADJD	«
dies	PDS	dies
.	$.	.
Und	KON	und
wenn	KOUS	wenn
ich	PPER	ich
»	ADJA	»
Mutter	NN	Mutter
«	ADJA	«
sag	VVIMP	sagen
,	$,	,
so	ADV	so
denk	VVIMP	denken
ich	PPER	ich
Eine	VVFIN	einen
,	$,	,
die	PRELS	die
mit	APPR	mit
dem	ART	die
einen	ADJA	einen
Fuß	NN	Fuß
im	APPRART	in
Grab	NN	Grab
,	$,	,
auf	APPR	auf
mich	PRF	ich
aus	APPR	aus
fremden	ADJA	fremd
Augen	NN	Auge
schaut	VVFIN	schauen
,	$,	,
und	KON	und
schaudre	VVFIN	schaudre
fast	ADV	fast
.	$.	.
BARON	NN	Baron
.	$.	.
Da	ADV	da
tut	VVFIN	tun
ihr	PPER	ihr
unrecht	ADJD	unrecht
.	$.	.
Führt	VVFIN	führen
ihn	PPER	er
plaudernd	ADJD	plaudernd
nach	APPR	nach
rückwärts	ADV	rückwärts
.	$.	.
VITTORIA	NE	Vittoria
allein	ADV	allein
stehenbleibend	ADJD	stehenbleibend
,	$,	,
da	KOUS	da
auch	ADV	auch
Lorenzo	NE	Lorenzo
nach	APPR	nach
rückwärts	ADV	rückwärts
gegangen	VVPP	gehen
,	$,	,
der	ART	die
Abbate	NN	Abbate
zu	APPR	zu
der	ART	die
Gruppe	NN	Gruppe
am	APPRART	an
Klavier	NN	Klavier
zurückgetreten	VVPP	zurücktreten
ist	VAFIN	sein
.	$.	.
Schmäht	VVFIN	schmähen
er	PPER	er
seine	PPOSAT	sein
Mutter	NN	Mutter
,	$,	,
um	KOUI	um
mir	PPER	ich
zu	PTKZU	zu
schmeicheln	VVINF	schmeicheln
?	$.	?
Und	KON	und
mich	PPER	ich
schmerzts	VVFIN	schmerzts
beinah	ADV	beinah
!	$.	!
So	ADV	so
steh	VVIMP	stehen
ich	PPER	ich
selber	ADV	selber
mir	PPER	ich
im	APPRART	in
Licht	NN	Licht
und	KON	und
muß	VMFIN	müssen
zwiesäftige	ADJA	zwiesäftige
Früchte	NN	Frucht
essen	VVINF	essen
,	$,	,
deren	PRELAT	die
Fleisch	NN	Fleisch
halb	ADJD	halb
süß	ADJD	süß
,	$,	,
halb	ADJD	halb
bitter	ADJD	bitter
schmeckt	VVFIN	schmecken
.	$.	.
Wie	KOUS	wie
gleicht	VVFIN	gleichen
dies	PDS	dies
Träumen	NN	Traum
!	$.	!
LORENZO	NE	Lorenzo
zu	APPR	zu
ihr	PPOSAT	ihr
zurückkommend	ADJD	zurückkommend
.	$.	.
Vergißt	VVFIN	vergessen
du	PPER	du
ganz	ADV	ganz
den	ART	die
Alten	NN	Alte
?	$.	?
VITTORIA	NE	Vittoria
.	$.	.
Nein	PTKANT	nein
,	$,	,
mein	PPOSAT	mein
Freund	NN	Freund
.	$.	.
Verzeih	VVIMP	verzeihen
,	$,	,
ich	PPER	ich
bin	VAFIN	sein
heut	VVFIN	heuen
nicht	PTKNEG	nicht
die	ART	die
beste	ADJA	gut
Hausfrau	NN	Hausfrau
!	$.	!
LORENZO	NE	Lorenzo
.	$.	.
Verzeih	VVIMP	verzeihen
mir	PPER	ich
du	PPER	du
.	$.	.
Ich	PPER	ich
seh	FM	seh
,	$,	,
du	PPER	du
bist	VAFIN	sein
bewegt	VVPP	bewegen
.	$.	.
VITTORIA	NE	Vittoria
.	$.	.
Ja	PTKANT	ja
,	$,	,
ja	ADV	ja
,	$,	,
ich	PPER	ich
bins	VVFIN	bins
.	$.	.
Bedenk	VVIMP	bedenken
,	$,	,
wie	KOUS	wie
viel	PIS	viele
er	PPER	er
mir	PRF	ich
wegnehmen	VVINF	wegnehmen
könnte	VMFIN	können
,	$,	,
dieser	PDAT	dies
Augenblick	NN	Augenblick
:	$.	:
mein	PPOSAT	mein
Schicksal	NN	Schicksal
tanzt	VVFIN	tanzen
auf	APPR	auf
eines	ART	eine
Messers	NN	Messer
Schneide	NN	Schneide
–	NN	–
verstehst	VVFIN	verstehen
du	PPER	du
mich	PPER	ich
?	$.	?
LORENZO	NE	Lorenzo
.	$.	.
O	NN	O
wohl	ADV	wohl
.	$.	.
VITTORIA	NE	Vittoria
indessen	ADV	indessen
Lorenzo	NE	Lorenzo
sich	PRF	sich
wegwendet	VVFIN	wegwenden
und	KON	und
einem	ART	eine
Diener	NN	Diener
etwas	ADV	etwas
aufträgt	VVFIN	auftragen
;	$.	;
für	APPR	für
sich	PRF	sich
.	$.	.
Das	ART	die
hoff	VVIMP	hoffen
ich	PPER	ich
nicht	PTKNEG	nicht
!	$.	!
Wieder	ADV	wieder
zu	APPR	zu
Lorenzo	NE	Lorenzo
.	$.	.
Sei	VAFIN	sein
ohne	APPR	ohne
Sorgen	NN	Sorge|Sorgen
,	$,	,
ich	PPER	ich
vergesse	VVFIN	vergessen
nicht	PTKNEG	nicht
.	$.	.
Wo	PWAV	wo
ist	VAFIN	sein
der	ART	die
Alte	NN	Alte
?	$.	?
ich	PPER	ich
vergesse	VVFIN	vergessen
nicht	PTKNEG	nicht
.	$.	.
LORENZO	NE	Lorenzo
.	$.	.
Auch	ADV	auch
mich	PRF	ich
nicht	PTKNEG	nicht
ganz	ADV	ganz
?	$.	?
VITTORIA	NE	Vittoria
.	$.	.
Heut	ADV	heute
weniger	ADV	weniger
als	KOKOM	als
je	ADV	je
:	$.	:
mir	PPER	ich
ist	VAFIN	sein
,	$,	,
ich	PPER	ich
seh	NE	seh
mein	PPOSAT	mein
Leben	NN	Leben
durch	PTKVZ	durch
und	KON	und
durch	APPR	durch
und	KON	und
deine	PPOSAT	dein
Liebe	NN	Liebe
drinnen	ADV	drinnen
.	$.	.
LORENZO	NE	Lorenzo
.	$.	.
Wie	KOUS	wie
die	ART	die
Mücke	NN	Mücke
im	APPRART	in
Bernstein	NN	Bernstein
?	$.	?
VITTORIA	NE	Vittoria
.	$.	.
Nein	PTKANT	nein
.	$.	.
So	ADV	so
wie	KOKOM	wie
den	ART	die
Edelstein	NN	Edelstein
im	APPRART	in
Bergkristall	NN	Bergkristall
,	$,	,
der	PRELS	die
eine	ART	eine
Heilkraft	NN	Heilkraft
hat	VAFIN	haben
und	KON	und
den	ART	die
verstümmelten	ADJA	verstümmelt
Kristall	NN	Kristall
von	APPR	von
innen	ADV	innen
nachwachsen	VVINF	nachwachsen
macht	VVFIN	machen
,	$,	,
wie	KOUS	wie
ein	ART	eine
lebendiges	ADJA	lebendig
Ding	NN	Ding
!	$.	!
Lorenzo	NE	Lorenzo
geht	VVFIN	gehen
nach	APPR	nach
rückwärts	ADV	rückwärts
.	$.	.
Zu	APPR	zu
Vittoria	NE	Vittoria
tritt	VVFIN	treten
der	ART	die
Baron	NN	Baron
,	$,	,
Cesarino	NE	Cesarino
zu	APPR	zu
Marfisa	NE	Marfisa
,	$,	,
den	ART	die
Musikern	NN	Musiker
und	KON	und
dem	ART	die
Abbate	NN	Abbate
,	$,	,
der	PRELS	die
ihn	PPER	er
bekomplimentiert	VVFIN	bekomplimentiert
.	$.	.
VITTORIA	NE	Vittoria
geht	VVFIN	gehen
noch	ADV	noch
einige	PIAT	einige
Schritte	NN	Schritt
nach	APPR	nach
vorne	ADV	vorne
,	$,	,
so	ADV	so
daß	KOUS	dass
niemand	PIS	niemand
sie	PPER	sie
hören	VVINF	hören
kann	VMFIN	können
;	$.	;
zum	APPRART	zu
Baron	NN	Baron
.	$.	.
So	ADV	so
weißt	VVFIN	weißen
du	PPER	du
,	$,	,
wer	PWS	wer
das	PDS	die
ist	VAFIN	sein
?	$.	?
Baron	NN	Baron
küßt	VVFIN	küssen
ihr	PPER	ihr
die	ART	die
Hand	NN	Hand
.	$.	.
VITTORIA	NE	Vittoria
.	$.	.
Es	PPER	es
ist	VAFIN	sein
dein	PPOSAT	dein
Kind	NN	Kind
,	$,	,
dein	PPOSAT	dein
und	KON	und
mein	PPOSAT	mein
Kind	NN	Kind
!	$.	!
Stell	VVIMP	stellen
dich	PPER	du
vor	APPR	vor
mich	PPER	ich
,	$,	,
daß	KOUS	dass
mich	PPER	ich
die	PDS	die
dort	ADV	dort
nicht	PTKNEG	nicht
weinen	VVINF	weinen
sehn	VVIMP	sehnen
Sie	PPER	Sie
weint	VVFIN	weinen
.	$.	.
MARFISA	NE	MARFISA
.	$.	.
Such	VVIMP	suchen
du	PPER	du
mir	PPER	ich
eine	ART	eine
Frucht	NN	Frucht
aus	PTKVZ	aus
,	$,	,
Cesarino	NE	Cesarino
,	$,	,
und	KON	und
bring	VVIMP	bringen
sie	PPER	sie
mir	PPER	ich
!	$.	!
SALAINO	NN	SALAINO
leise	ADJD	leise
,	$,	,
flehend	ADJD	flehend
.	$.	.
Marfisa	NE	Marfisa
!	$.	!
MARFISA	NN	MARFISA
halblaut	ADJD	halblaut
zu	APPR	zu
ihm	PPER	er
.	$.	.
Das	PDS	die
war	VAFIN	sein
gestern	ADV	gestern
–	ADJD	–
und	KON	und
heut	VVFIN	heuen
ist	VAFIN	sein
heut	VVFIN	heuen
!	$.	!
Sie	PPER	Sie
nimmt	VVFIN	nehmen
die	ART	die
Frucht	NN	Frucht
aus	APPR	aus
Cesarinos	NE	Cesarinos
Hand	NN	Hand
.	$.	.
VITTORIA	NE	Vittoria
zum	APPRART	zu
Baron	NN	Baron
.	$.	.
So	ADV	so
wein	VVIMP	weinen
ich	PPER	ich
einmal	ADV	einmal
aus	APPR	aus
meiner	PPOSAT	mein
Seele	NN	Seele
tiefstem	ADJA	tief
Kern	NN	Kern
:	$.	:
denn	KON	denn
dies	PDS	dies
ist	VAFIN	sein
das	ART	die
Geheimnis	NN	Geheimnis
meines	PPOSAT	mein
Lebens	NN	Leben
und	KON	und
alles	PIAT	alle
andre	PIS	andere
nur	ADV	nur
die	ART	die
leere	ADJA	leer
Schale	NN	Schale
.	$.	.
BARON	NN	Baron
.	$.	.
Du	PPER	du
liebste	ADJA	lieb
Zauberin	NN	Zauberin
,	$,	,
ein	ART	eine
Spiegel	NN	Spiegel
ists	VVFIN	ists
,	$,	,
der	PRELS	die
dreißig	CARD	dreißig
Jahr	NN	Jahr
nach	APPR	nach
rückwärts	ADV	rückwärts
,	$,	,
wie	KOUS	wie
ich	PPER	ich
atme	VVFIN	atmen
,	$,	,
mich	PRF	ich
eilig	ADJD	eilig
blitzt	VVFIN	blitzen
!	$.	!
Ich	PPER	ich
küsse	VVFIN	küssen
meine	PPOSAT	mein
Jugend	NN	Jugend
wehmütig	ADJD	wehmütig
auf	APPR	auf
die	ART	die
Stirn	NN	Stirn
,	$,	,
wenn	KOUS	wenn
ich	PPER	ich
ihn	PPER	er
küsse	VVFIN	küssen
!	$.	!
VITTORIA	NE	Vittoria
.	$.	.
Mir	PPER	ich
macht	VVFIN	machen
er	PPER	er
meiner	PPOSAT	mein
Jahre	NN	Jahr
Zählung	NN	Zählung
wirr	ADJD	wirr
und	KON	und
mich	PPER	ich
mir	PPER	ich
selbst	ADV	selbst
zur	APPRART	zu
Doppelgängerin	NN	Doppelgängerin
.	$.	.
BARON	NN	Baron
.	$.	.
Wie	KOUS	wie
meinst	VVFIN	meinen
du	PPER	du
das	PDS	die
?	$.	?
Die	ART	die
Gruppe	NN	Gruppe
links	ADV	links
will	VMFIN	wollen
Cesarino	NE	Cesarino
ans	APPRART	ans
Klavier	NN	Klavier
ziehen	VVINF	ziehen
,	$,	,
Marfisa	NN	Marfisa
am	PTKA	am
schmeichelndsten	ADJD	schmeichelndsten
.	$.	.
Ein	ART	eine
Musiker	NN	Musiker
bietet	VVFIN	bieten
seine	PPOSAT	sein
Geige	NN	Geige
.	$.	.
Salaino	NE	Salaino
steht	VVFIN	stehen
abseits	ADV	abseits
.	$.	.
VITTORIA	NE	Vittoria
halb	ADJD	halb
gegen	APPR	gegen
diese	PDAT	dies
gekehrt	VVPP	kehren
,	$,	,
spricht	VVFIN	sprechen
zum	APPRART	zu
Baron	NN	Baron
.	$.	.
Sind	VAFIN	sein
alle	PIS	alle
nicht	PTKNEG	nicht
von	APPR	von
seinem	PPOSAT	sein
wilden	ADJA	wild
Feuer	NN	Feuer
bestrahlt	VVPP	bestrahlen
?	$.	?
er	PPER	er
ist	VAFIN	sein
dein	PPOSAT	dein
Kind	NN	Kind
!	$.	!
Sag	VVIMP	sagen
,	$,	,
bist	VAFIN	sein
du	PPER	du
froh	ADJD	froh
?	$.	?
Indem	KOUS	indem
sie	PPER	sie
sich	PRF	sich
nach	APPR	nach
links	ADV	links
hin	APZR	hin
wendet	VVFIN	wenden
.	$.	.
Sie	PPER	Sie
haben	VAFIN	haben
recht	ADJD	recht
,	$,	,
Abbate	NE	Abbate
–	NN	–
Malaspina	NE	Malaspina
hat	VAFIN	haben
Unrecht	NN	Unrecht
:	$.	:
ja	PTKANT	ja
,	$,	,
mein	PPOSAT	mein
Bruder	NN	Bruder
spielt	VVFIN	spielen
viel	ADV	viel
besser	ADJD	gut
,	$,	,
geläufiger	ADJD	geläufig
und	KON	und
besser	ADJD	gut
viel	PIS	viele
als	KOKOM	als
ich	PPER	ich
,	$,	,
obwohl	KOUS	obwohl
er	PPER	er
um	APPR	um
zehn	CARD	zehn
Jahr	NN	Jahr
,	$,	,
vielmehr	ADV	vielmehr
beinahe	ADV	beinahe
zehn	CARD	zehn
Jahre	NN	Jahr
jünger	ADJD	jung
ist	VAFIN	sein
–	NN	–
Zum	APPRART	zu
Baron	NN	Baron
.	$.	.
Siehst	VVFIN	sehen
du	PPER	du
,	$,	,
hier	ADV	hier
weiß	VVFIN	wissen
kein	PIAT	keine
Mensch	NN	Mensch
mein	PPOSAT	mein
wahres	ADJA	wahr
Alter	NN	Alter
!	$.	!
BARON	NN	Baron
.	$.	.
Weil	KOUS	weil
du	PPER	du
keines	PIS	keine
hast	VAFIN	haben
!	$.	!
